'MSFT',DATADATE,CURCDD,AJEXDI,PRCOD,PRCCD,PRCHD,PRCLD,CSHTRD
"msft",3/13/1986,"USD",288,,28,29.25,25.5,3583000
"msft",3/14/1986,"USD",288,,29,29.5,28,1070000
"msft",3/17/1986,"USD",288,,29.5,29.75,29,462400
"msft",3/18/1986,"USD",288,,28.75,29.75,28.5,230800
"msft",3/19/1986,"USD",288,,28.25,29,28,166300
"msft",3/20/1986,"USD",288,,27.5,28.25,27.25,202900
"msft",3/21/1986,"USD",288,,26.75,28,26.25,208300
"msft",3/24/1986,"USD",288,,26,26.75,25.75,226700
"msft",3/25/1986,"USD",288,,26.5,26.5,25.75,111400
"msft",3/26/1986,"USD",288,,27.25,27.5,26.25,79000
"msft",3/27/1986,"USD",288,,27.75,27.75,27.25,58500
"msft",3/31/1986,"USD",288,,27.5,27.75,27,44700
"msft",4/1/1986,"USD",288,,27.25,27.5,27.25,38500
"msft",4/2/1986,"USD",288,,27.5,28,27.25,93800
"msft",4/3/1986,"USD",288,,27.75,28.5,27.75,80000
"msft",4/4/1986,"USD",288,,27.75,28,27.75,92300
"msft",4/7/1986,"USD",288,,27.25,28,26.75,57500
"msft",4/8/1986,"USD",288,,27.5,28,27.25,35600
"msft",4/9/1986,"USD",288,,28,28.25,27.5,42200
"msft",4/10/1986,"USD",288,,28.25,28.5,27.5,48200
"msft",4/11/1986,"USD",288,,28.75,29.25,28.5,59800
"msft",4/14/1986,"USD",288,,29,29.25,28.75,42200
"msft",4/15/1986,"USD",288,,29,29,28,32300
"msft",4/16/1986,"USD",288,,30,30.25,28.75,110800
"msft",4/17/1986,"USD",288,,30.25,30.25,30,76400
"msft",4/18/1986,"USD",288,,29.25,30.25,29,75100
"msft",4/21/1986,"USD",288,,29.25,29.5,28.5,79600
"msft",4/22/1986,"USD",288,,28.75,29.25,28.75,54000
"msft",4/23/1986,"USD",288,,28.875,29,28.5,54200
"msft",4/24/1986,"USD",288,,31.75,32.25,28.75,216100
"msft",4/25/1986,"USD",288,,33.75,35.125,32,296700
"msft",4/28/1986,"USD",288,,34,34.25,33.5,100300
"msft",4/29/1986,"USD",288,,33,34,32.75,105300
"msft",4/30/1986,"USD",288,,32.25,33.25,31.5,104300
"msft",5/1/1986,"USD",288,,31.75,32.25,31.25,188700
"msft",5/2/1986,"USD",288,,31.75,32.25,31.5,70300
"msft",5/5/1986,"USD",288,,31.5,31.75,31.5,11300
"msft",5/6/1986,"USD",288,,31.75,32.25,31.75,33800
"msft",5/7/1986,"USD",288,,31.75,32,31.25,17900
"msft",5/8/1986,"USD",288,,32,32,31.5,12300
"msft",5/9/1986,"USD",288,,31.75,32,31.75,21100
"msft",5/12/1986,"USD",288,,32,32.75,31.75,36400
"msft",5/13/1986,"USD",288,,32.25,32.5,32,13300
"msft",5/14/1986,"USD",288,,32,32.25,32,32300
"msft",5/15/1986,"USD",288,,32,32.5,32,13200
"msft",5/16/1986,"USD",288,,32.25,33,32,41500
"msft",5/19/1986,"USD",288,,31.5,32.25,31.5,38200
"msft",5/20/1986,"USD",288,,31.5,31.75,31.25,15200
"msft",5/21/1986,"USD",288,,31,31.75,31,28100
"msft",5/22/1986,"USD",288,,31,31.25,31,15300
"msft",5/23/1986,"USD",288,,31,31.5,31,14200
"msft",5/27/1986,"USD",288,,32,32,31,48200
"msft",5/28/1986,"USD",288,,33,33,32,53900
"msft",5/29/1986,"USD",288,,33.75,34.25,32.75,158600
"msft",5/30/1986,"USD",288,,34.75,35.5,34,114000
"msft",6/2/1986,"USD",288,,34,35,34,68500
"msft",6/3/1986,"USD",288,,34,34,33.5,17400
"msft",6/4/1986,"USD",288,,33.75,34.25,33.5,16400
"msft",6/5/1986,"USD",288,,34.25,34.25,33.5,47600
"msft",6/6/1986,"USD",288,,34.25,34.25,33.75,11900
"msft",6/9/1986,"USD",288,,32.75,34.25,32.75,44000
"msft",6/10/1986,"USD",288,,32.75,32.75,32.25,11900
"msft",6/11/1986,"USD",288,,32.75,32.75,32.25,8000
"msft",6/12/1986,"USD",288,,31.5,32.75,31.25,47600
"msft",6/13/1986,"USD",288,,31.5,31.75,31.25,27400
"msft",6/16/1986,"USD",288,,31.25,31.75,31,33300
"msft",6/17/1986,"USD",288,,31.75,32.25,31.5,45400
"msft",6/18/1986,"USD",288,,31.5,31.75,31,15100
"msft",6/19/1986,"USD",288,,31.25,31.75,31,29400
"msft",6/20/1986,"USD",288,,31.375,31.5,31.25,13200
"msft",6/23/1986,"USD",288,,31.75,31.75,30.75,160400
"msft",6/24/1986,"USD",288,,31.5,32,31.25,50600
"msft",6/25/1986,"USD",288,,31,31.75,31,52900
"msft",6/26/1986,"USD",288,,30,31.25,30,66500
"msft",6/27/1986,"USD",288,,29.75,30.25,29.5,36100
"msft",6/30/1986,"USD",288,,30.75,31.5,29.5,216500
"msft",7/1/1986,"USD",288,,30.75,30.75,30.5,165200
"msft",7/2/1986,"USD",288,,30.75,30.75,30.5,182700
"msft",7/3/1986,"USD",288,,31.25,31.5,31,49100
"msft",7/7/1986,"USD",288,,30,31.25,30,48800
"msft",7/8/1986,"USD",288,,29.25,30,29,49500
"msft",7/9/1986,"USD",288,,28,29.25,27.75,160200
"msft",7/10/1986,"USD",288,,27.25,28.25,26,162800
"msft",7/11/1986,"USD",288,,28,28.5,27.25,60400
"msft",7/14/1986,"USD",288,,27.625,28.25,27.25,99300
"msft",7/15/1986,"USD",288,,28,28.5,27.25,45800
"msft",7/16/1986,"USD",288,,29,29,28.25,32500
"msft",7/17/1986,"USD",288,,29.5,29.5,28.75,24100
"msft",7/18/1986,"USD",288,,29.75,30,28.75,42800
"msft",7/21/1986,"USD",288,,29.75,30.25,29.75,12200
"msft",7/22/1986,"USD",288,,30.75,30.75,29.75,36500
"msft",7/23/1986,"USD",288,,30,31.25,30,72200
"msft",7/24/1986,"USD",288,,31,31.5,30.5,49100
"msft",7/25/1986,"USD",288,,31.25,31.5,31,71000
"msft",7/28/1986,"USD",288,,30.5,31.25,30.5,41000
"msft",7/29/1986,"USD",288,,29.75,30.75,29.25,48800
"msft",7/30/1986,"USD",288,,28.75,29.75,27.75,91700
"msft",7/31/1986,"USD",288,,28.5,29,28.5,54300
"msft",8/1/1986,"USD",288,,28.25,28.75,28,44800
"msft",8/4/1986,"USD",288,,28.25,28.25,27.5,43200
"msft",8/5/1986,"USD",288,,28,28.5,28,9800
"msft",8/6/1986,"USD",288,,27.75,28.25,27.25,60600
"msft",8/7/1986,"USD",288,,27.5,28,27.25,12700
"msft",8/8/1986,"USD",288,,27.75,28.25,27.5,14400
"msft",8/11/1986,"USD",288,,28.75,29,28.25,27600
"msft",8/12/1986,"USD",288,,29.5,29.5,28.75,34700
"msft",8/13/1986,"USD",288,,29.75,29.75,29.25,23900
"msft",8/14/1986,"USD",288,,30.5,30.75,29.75,69900
"msft",8/15/1986,"USD",288,,30.625,30.75,30.25,21200
"msft",8/18/1986,"USD",288,,30.25,30.75,30.25,44400
"msft",8/19/1986,"USD",288,,30.25,30.375,29.75,70800
"msft",8/20/1986,"USD",288,,30,30.25,30,72100
"msft",8/21/1986,"USD",288,,30,30.5,30,172000
"msft",8/22/1986,"USD",288,,29.5,30.25,29,20000
"msft",8/25/1986,"USD",288,,29.5,29.5,29,8400
"msft",8/26/1986,"USD",288,,29.25,29.5,29.25,37700
"msft",8/27/1986,"USD",288,,29.25,29.5,29,33100
"msft",8/28/1986,"USD",288,,29.25,29.5,29.25,11900
"msft",8/29/1986,"USD",288,,28.5,29.5,28,88300
"msft",9/2/1986,"USD",288,,27.75,28.5,27.375,18100
"msft",9/3/1986,"USD",288,,27,27.5,26.25,63600
"msft",9/4/1986,"USD",288,,29.25,29.25,27.5,136900
"msft",9/5/1986,"USD",288,,30.5,30.5,29,91500
"msft",9/8/1986,"USD",288,,30.25,30.75,30.25,33400
"msft",9/9/1986,"USD",288,,30.75,31.5,30.25,130300
